event_id,timestamp,clip_id,zone,behavior_class,policy_rule_ref,event_description,severity,escalation_action,confidence,signature,source_video
e1,ts,c,z,b,r,d,HIGH,a,0.9,6432fb1f753a49557e0844e5c5204d62f815ef5f5b81fccc9fe81cee98920030,
e2,ts2,c2,z2,b2,r2,d2,LOW,log,0.85,e731b188ea3e6361ea02db59721bd1e967dbd58f7d8efb2b4ae8ceb5fac8705a,
e1,ts,c,z,b,r,d,HIGH,a,0.9,6432fb1f753a49557e0844e5c5204d62f815ef5f5b81fccc9fe81cee98920030,
e2,ts2,c2,z2,b2,r2,d2,LOW,log,0.85,e731b188ea3e6361ea02db59721bd1e967dbd58f7d8efb2b4ae8ceb5fac8705a,
7b4d7509-9339-4ae3-afb7-8037320d93f8,2026-06-18T12:54:45Z,demo_clip_01.mp4,Zone-1,Safe Walkway Violation,Section 3.1,A Safe Walkway Violation is detected when a person's position in the video frame places them beyond the green walkway boundaries and into an area designated for machinery or vehicle operation.,HIGH,Log + SMS alert to EHS coordinator + floor alarm activation,0.85,8c3ce4fa1dd99f6bf9bbb8fcccfe0d59e568bf7620d3047eca796861576dc885,
1d759da7-3357-4c13-9aa3-d48ee6b12d47,2026-06-18T12:54:45Z,demo_clip_02.mp4,Zone-2,Unauthorized Intervention,Section 4.1,The color of the safety vest worn by a person interacting with equipment is the primary observable criterion for classifying the behavior as Authorized or Unauthorized Intervention.,CRITICAL,Log + emergency dispatch to safety response team + production line halt + audible siren + strobe activation,0.85,397facbbbcca11131057c33f7283eb4e9ac46942d3352dae59542c66479e5572,
3edd2f80-f46e-42fd-9a87-76dca74a7313,2026-06-18T12:54:45Z,demo_clip_03.mp4,Zone-3,Opened Panel Cover,Section 5.1,An Opened Panel Cover is detected when the surveillance system observes a panel in the open -cover state during production operations. No personnel nearby at the sampled time.,LOW,Log to compliance database,0.85,145bd7dda895426ab7b48894c22fea2e06c7430d11beefed84afc7636785aad2,
96181f96-5a15-4f65-b680-0fe90d5d69c1,2026-06-18T12:54:45Z,demo_clip_04.mp4,Zone-4,Carrying Overload with Forklift,Section 6.1,The number of blocks visible on the forklift forks during travel is the observable criterion used by the automated detection system to classify the load as safe or overloaded.,CRITICAL,Log + emergency dispatch to safety response team + production line halt + audible siren + strobe activation,0.85,ffbcd254582cc7a4bdc221a9989138d22c5c97fb15eba35738d989db8c002e51,
bc8c813d-0d7e-4ab5-a992-51a3a18db653,2026-06-18T16:12:00Z,demo_clip_01.mp4,Zone-1,Safe Walkway Violation,Section 3.1,A Safe Walkway Violation is detected when a person's position in the video frame places them beyond the green walkway boundaries and into an area designated for machinery or vehicle operation.,CRITICAL,Real-time alert triggered + DB log,0.85,2fab593b97af850493e762cad4df7deea1575ecc6315400752abb32911b4d0d2,
3cd034cc-2669-42b4-9e7f-cca43d7e8a8f,2026-06-18T16:12:00Z,demo_clip_02.mp4,Zone-2,Unauthorized Intervention,Section 4.1,The color of the safety vest worn by a person interacting with equipment is the primary observable criterion for classifying the behavior as Authorized or Unauthorized Intervention.,CRITICAL,Real-time alert triggered + DB log,0.85,607287c97e38bd4c8935bf002382c3725de2e71501a4e524facfd0c05e191012,
69b0f9ae-7651-4d0b-aa6a-d305f0a18cf4,2026-06-18T16:12:00Z,demo_clip_03.mp4,Zone-3,Opened Panel Cover,Section 5.1,An Opened Panel Cover is detected when the surveillance system observes a panel in the open -cover state during production operations. No personnel nearby at the sampled time.,CRITICAL,Real-time alert triggered + DB log,0.85,916a7c2fc94830dbc345819dd878127072dd8e3314111eb1a836ffefba123726,
93c3d77a-91bf-4276-ad14-da04ef0caf26,2026-06-18T16:12:00Z,demo_clip_04.mp4,Zone-4,Carrying Overload with Forklift,Section 6.1,The number of blocks visible on the forklift forks during travel is the observable criterion used by the automated detection system to classify the load as safe or overloaded.,CRITICAL,Real-time alert triggered + DB log,0.85,6d7ac5338c990546b1d1d950cb5e5628529aeb5d0e9cd572d62de2d69bdd12b5,
e1,ts,c,z,b,r,d,HIGH,a,0.9,6432fb1f753a49557e0844e5c5204d62f815ef5f5b81fccc9fe81cee98920030,
e2,ts2,c2,z2,b2,r2,d2,LOW,log,0.85,e731b188ea3e6361ea02db59721bd1e967dbd58f7d8efb2b4ae8ceb5fac8705a,
